link_id,from_node_id,to_node_id,dir_flag,length,vdf_length_mi,lanes,capacity,free_speed,vdf_free_speed_mph,vdf_toll,link_type,allowed_uses,vdf_alpha,vdf_beta,vdf_plf,ref_volume,ref_cost,vdf_fftt,geometry
13,3,10256,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5554 19.0699, 24.5629 19.1259)"
14,3,11293,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5554 19.0699, 24.6001 19.2191)"
15,3,12313,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5554 19.0699, 24.574 19.1644)"
16,4,12363,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.4589 18.717, 25.4222 18.4622)"
17,4,12685,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.4589 18.717, 25.3812 18.9761)"
18,4,12690,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.4589 18.717, 25.3762 18.9898)"
19,4,12799,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.4589 18.717, 25.3775 19.0084)"
20,4,12800,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.4589 18.717, 25.38 19.0134)"
21,5,11696,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.8744 18.4044, 24.0359 18.3833)"
22,5,11697,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.8744 18.4044, 24.0341 18.3721)"
23,5,11698,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.8744 18.4044, 24.003 18.3765)"
24,5,11714,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.8744 18.4044, 23.7619 18.42)"
25,5,11725,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.8744 18.4044, 23.9241 18.3933)"
26,6,11016,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.9589 18.712, 24.0477 18.7673)"
27,6,11017,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.9589 18.712, 24.1739 18.7878)"
28,6,11695,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.9589 18.712, 23.9061 18.7785)"
29,6,11717,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.9589 18.712, 23.7538 18.7294)"
30,6,11724,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (23.9589 18.712, 23.9154 18.653)"
31,7,3365,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1801 18.3274, 24.1894 18.2081)"
32,7,10957,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1801 18.3274, 24.1596 18.2025)"
33,7,11375,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1801 18.3274, 24.3516 18.3417)"
34,7,11744,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1801 18.3274, 24.2112 18.3467)"
35,7,12515,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1801 18.3274, 24.2478 18.2423)"
36,8,3361,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1994 18.6586, 24.497 18.8829)"
37,8,3362,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1994 18.6586, 24.2205 18.7959)"
38,8,11016,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1994 18.6586, 24.0477 18.7673)"
39,8,11017,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1994 18.6586, 24.1739 18.7878)"
40,8,11724,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1994 18.6586, 23.9154 18.653)"
41,9,3352,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.1849 18.5001, 25.0034 18.3535)"
42,9,3353,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.1849 18.5001, 24.9605 18.5355)"
43,9,3357,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.1849 18.5001, 25.0537 18.3616)"
44,9,3358,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.1849 18.5001, 25.0463 18.374)"
45,9,3359,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.1849 18.5001, 24.9941 18.474)"
46,10,3353,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.8381 18.4747, 24.9605 18.5355)"
47,10,3354,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.8381 18.4747, 24.8226 18.3411)"
48,10,3355,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.8381 18.4747, 24.7381 18.3255)"
49,10,3356,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.8381 18.4747, 24.7375 18.3355)"
50,10,3359,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.8381 18.4747, 24.9941 18.474)"
51,11,11018,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5312 18.625, 24.5324 18.53)"
52,11,11019,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5312 18.625, 24.5293 18.6841)"
53,11,11020,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5312 18.625, 24.5424 18.5032)"
54,11,11022,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5312 18.625, 24.5417 18.7145)"
55,11,11028,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5312 18.625, 24.5417 18.6834)"
56,12,11181,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.9543 18.7717, 24.9071 18.8214)"
57,12,11276,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.9543 18.7717, 24.835 18.7655)"
58,12,11278,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.9543 18.7717, 24.8723 18.7008)"
59,12,11279,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.9543 18.7717, 24.8381 18.7568)"
60,12,11286,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.9543 18.7717, 24.8431 18.7729)"
61,13,10956,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1472 17.9533, 24.0496 18.0341)"
62,13,10961,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1472 17.9533, 24.2335 17.931)"
63,13,10963,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1472 17.9533, 24.2279 17.9216)"
64,13,10965,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1472 17.9533, 24.3118 17.8744)"
65,13,11712,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.1472 17.9533, 24.0651 18.1714)"
66,14,11106,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.3914 18.0882, 24.4653 17.9384)"
67,14,11110,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.3914 18.0882, 24.4734 17.9384)"
68,14,11114,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.3914 18.0882, 24.5026 18.1783)"
69,14,11121,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.3914 18.0882, 24.502 18.1199)"
70,14,12522,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.3914 18.0882, 24.3112 18.2485)"
71,15,11108,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5119 17.752, 24.5914 17.8278)"
72,15,11118,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5119 17.752, 24.4125 17.8141)"
73,15,11175,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5119 17.752, 24.5262 17.7278)"
74,15,11176,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5119 17.752, 24.5045 17.7532)"
75,15,11178,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5119 17.752, 24.4995 17.7464)"
76,16,12516,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.0798 18.0409, 25.0811 17.9651)"
77,16,12529,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.0798 18.0409, 25.0904 18.154)"
78,16,12532,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.0798 18.0409, 25.1115 18.1248)"
79,16,12540,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.0798 18.0409, 25.1246 18.1478)"
80,16,12543,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.0798 18.0409, 25.1153 18.1497)"
81,17,3354,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.8095 18.1758, 24.8226 18.3411)"
82,17,3355,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.8095 18.1758, 24.7381 18.3255)"
83,17,12644,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.8095 18.1758, 24.8071 18.2131)"
84,17,12645,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.8095 18.1758, 24.8704 18.2081)"
85,17,12648,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.8095 18.1758, 24.9264 18.1845)"
86,18,11160,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.3259 18.0782, 25.2719 18.1671)"
87,18,11166,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.3259 18.0782, 25.2793 18.1515)"
88,18,11167,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.3259 18.0782, 25.283 18.1714)"
89,18,12520,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.3259 18.0782, 25.2793 18.1385)"
90,18,12521,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.3259 18.0782, 25.3787 18.123)"
91,19,11067,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.3914 17.1101, 24.382 16.8678)"
92,19,11078,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.3914 17.1101, 24.4678 16.8765)"
93,19,11332,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.3914 17.1101, 24.5113 16.9131)"
94,19,11333,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.3914 17.1101, 24.5448 16.9237)"
95,19,11340,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.3914 17.1101, 24.5082 16.9231)"
96,20,10149,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.996 17.4774, 25.0513 17.5525)"
97,20,10152,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.996 17.4774, 25.0519 17.5445)"
98,20,12527,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.996 17.4774, 24.9021 17.6016)"
99,20,12854,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.996 17.4774, 24.8947 17.5227)"
100,20,12857,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.996 17.4774, 24.8928 17.532)"
101,21,11350,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.6068 17.9049, 25.6378 18.003)"
102,21,12614,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.6068 17.9049, 25.7068 17.88)"
103,21,12615,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.6068 17.9049, 25.6409 17.908)"
104,21,12616,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.6068 17.9049, 25.6944 17.9807)"
105,21,12617,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.6068 17.9049, 25.6472 18.0211)"
106,22,12564,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.0656 17.0598, 25.0749 17.015)"
107,22,12568,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.0656 17.0598, 24.9481 16.9616)"
108,22,12575,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.0656 17.0598, 24.9518 16.9281)"
109,22,12576,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.0656 17.0598, 24.9301 16.9479)"
110,22,12577,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.0656 17.0598, 24.9357 17.0411)"
111,23,12596,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.9842 16.7969, 24.9655 16.7789)"
112,23,12606,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.9842 16.7969, 24.9655 16.7957)"
113,23,12608,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.9842 16.7969, 24.981 16.81)"
114,23,12619,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.9842 16.7969, 24.9705 16.7882)"
115,23,12620,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.9842 16.7969, 24.9767 16.764)"
116,24,11103,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5821 16.9374, 24.4864 16.8684)"
117,24,11327,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5821 16.9374, 24.6554 16.9616)"
118,24,11328,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5821 16.9374, 24.6523 16.9728)"
119,24,11333,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5821 16.9374, 24.5448 16.9237)"
120,24,11341,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (24.5821 16.9374, 24.5417 16.9343)"
121,25,11353,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.6795 17.0393, 25.6583 16.9629)"
122,25,12232,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.6795 17.0393, 25.6615 17.038)"
123,25,12233,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.6795 17.0393, 25.6938 17.0996)"
124,25,12241,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.6795 17.0393, 25.6441 16.9324)"
125,25,12244,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.6795 17.0393, 25.6459 17.043)"
126,26,12777,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.5105 16.6938, 25.5161 16.7398)"
127,26,12780,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.5105 16.6938, 25.6086 16.7037)"
128,26,12910,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.5105 16.6938, 25.5732 16.8566)"
129,26,12915,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.5105 16.6938, 25.5832 16.8491)"
130,26,12916,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.5105 16.6938, 25.5366 16.7808)"
131,27,1003,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4338 20.806, 26.6022 21.013)"
132,27,3825,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4338 20.806, 26.3102 20.5786)"
133,27,3826,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4338 20.806, 26.2996 20.5842)"
134,27,3828,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4338 20.806, 26.3276 20.6321)"
135,27,11860,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4338 20.806, 26.5761 20.9869)"
136,28,3827,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.1486 20.9396, 26.2238 21.2168)"
137,28,11219,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.1486 20.9396, 25.9585 20.9974)"
138,28,11221,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.1486 20.9396, 25.9603 21.0092)"
139,28,11224,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.1486 20.9396, 25.9454 21.0105)"
140,28,11227,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.1486 20.9396, 25.9728 21.1018)"
141,29,3827,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.1486 20.9396, 26.2238 21.2168)"
142,29,11219,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.1486 20.9396, 25.9585 20.9974)"
143,29,11221,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.1486 20.9396, 25.9603 21.0092)"
144,29,11224,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.1486 20.9396, 25.9454 21.0105)"
145,29,11227,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.1486 20.9396, 25.9728 21.1018)"
146,30,10242,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.8317 20.5879, 25.8292 20.4115)"
147,30,10243,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.8317 20.5879, 25.8193 20.4046)"
148,30,11203,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.8317 20.5879, 25.7609 20.4836)"
149,30,11207,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.8317 20.5879, 25.695 20.5631)"
150,30,11216,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.8317 20.5879, 25.7658 20.4916)"
151,31,11864,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4475 20.1567, 26.3288 19.9659)"
152,31,11866,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4475 20.1567, 26.3624 19.9367)"
153,31,11867,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4475 20.1567, 26.3375 19.9585)"
154,31,11868,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4475 20.1567, 26.3468 19.9672)"
155,31,11869,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4475 20.1567, 26.212 20.094)"
156,32,11298,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.737 19.6267, 26.5109 19.6702)"
157,32,11361,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.737 19.6267, 26.6159 19.687)"
158,32,11362,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.737 19.6267, 26.6122 19.4962)"
159,32,11364,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.737 19.6267, 26.816 19.7565)"
160,32,11365,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.737 19.6267, 26.8197 19.7485)"
161,33,11281,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4046 19.1203, 26.2306 19.0848)"
162,33,11285,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4046 19.1203, 26.3195 18.9612)"
163,33,11288,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4046 19.1203, 26.3058 18.9805)"
164,33,11817,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4046 19.1203, 26.5506 19.0556)"
165,33,11819,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.4046 19.1203, 26.5034 19.0059)"
166,34,11298,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.3182 19.5714, 26.5109 19.6702)"
167,34,11301,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.3182 19.5714, 26.5214 19.6758)"
168,34,11311,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.3182 19.5714, 26.0908 19.5527)"
169,34,11358,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.3182 19.5714, 26.5264 19.6391)"
170,34,11823,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.3182 19.5714, 26.1896 19.4614)"
171,35,10238,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.0716 19.8964, 26.0069 20.0306)"
172,35,10248,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.0716 19.8964, 25.9982 20.0393)"
173,35,11254,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.0716 19.8964, 25.9877 20.0101)"
174,35,11259,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.0716 19.8964, 25.9964 20.0194)"
175,35,11260,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (26.0716 19.8964, 25.9007 19.9374)"
176,36,11314,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.677 19.4707, 25.6782 19.4278)"
177,36,12871,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.677 19.4707, 25.6472 19.4216)"
178,36,12912,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.677 19.4707, 25.6354 19.4341)"
179,36,12913,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.677 19.4707, 25.6484 19.4303)"
180,36,12918,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.677 19.4707, 25.6434 19.4981)"
181,37,10625,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.4545 19.2352, 25.5508 19.4129)"
182,37,11065,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.4545 19.2352, 25.5571 19.3545)"
183,37,11271,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.4545 19.2352, 25.4707 19.1047)"
184,37,12801,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.4545 19.2352, 25.5819 19.3657)"
185,37,12815,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.4545 19.2352, 25.5738 19.3725)"
186,38,11059,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.0382 19.3763, 24.8375 19.4732)"
187,38,11060,1,0,0,1,999999,90,55.92339,0,0,,0,4,1,0,-1,0,"LINESTRING (25.0382 19.3763, 24.9115 19.513)"
